grna_target	response_id
ACAA2	ACAA2
ADM	ADM
ALKBH3	ALKBH3
AP4B1	AP4B1
APEH	APEH
ARHGEF12	ARHGEF12
ATP6V1B2	ATP6V1B2
ATP8B2	ATP8B2
BAG2	BAG2
BASP1	BASP1
BET1L	BET1L
BTN3A2	BTN3A2
C4orf3	C4orf3
CALCOCO2	CALCOCO2
CARD16	CARD16
CCDC92	CCDC92
CCDC97	CCDC97
CCT8	CCT8
CDK12	CDK12
CFDP1	CFDP1
CKB	CKB
COG5	COG5
COL4A1	COL4A1
COL6A3	COL6A3
CXCL12	CXCL12
DUSP6	DUSP6
E4CAD9p21	CDKN2A
E5CAD9p21	CDKN2B
E6CAD9p21	CDKN2B
E9CAD9p21	MTAP
ECM1	ECM1
EDNRA	EDNRA
EHBP1	EHBP1
EIF4A2	EIF4A2
EML1	EML1
ERAP1	ERAP1
E.SMAD3	SMAD3
FARP1	FARP1
FGFR1	FGFR1
FKBP5	FKBP5
FTO	FTO
GALNT2	GALNT2
GDF15	GDF15
GFPT1	GFPT1
GOSR2	GOSR2
IGF2R	IGF2R
IPO9	IPO9
KANK2	KANK2
LAYN	LAYN
LEMD2	LEMD2
LMAN1	LMAN1
MAN2A2	MAN2A2
MORF4L1	MORF4L1
MTHFD1L	MTHFD1L
MVK	MVK
MYO9B	MYO9B
N4BP2L2	N4BP2L2
NAA25	NAA25
NDE1	NDE1
NEK9	NEK9
NES	NES
NEU1	NEU1
NR2C1	NR2C1
NUDT5	NUDT5
PALLD	PALLD
PCCB	PCCB
PDGFD	PDGFD
PID1	PID1
PLEKHA1	PLEKHA1
PLPP3	PLPP3
POLK	POLK
PPP1R11	PPP1R11
PPP1R18	PPP1R18
PSMD5	PSMD5
R3HDM2	R3HDM2
RAC1	RAC1
RDX	RDX
RELA	RELA
RELB	RELB
REST	REST
RGS12	RGS12
RPL27A	RPL27A
SEMA5A	SEMA5A
SIK3	SIK3
SLK	SLK
SNRPC	SNRPC
SPECC1L	SPECC1L
SRR	SRR
SSH2	SSH2
STAT3	STAT3
STOML1	STOML1
TAB2	TAB2
TCF21	TCF21
TCF7L2	TCF7L2
TEX2	TEX2
TFPI	TFPI
TGOLN2	TGOLN2
TMED1	TMED1
TOM1L2	TOM1L2
TP53INP1	TP53INP1
TRIM27	TRIM27
TSPAN14	TSPAN14
TSS.CDKN2A	CDKN2A
TSS.CDKN2B	CDKN2B
TSS.PDGFD	PDGFD
TSS.SMAD3	SMAD3
UBASH3B	UBASH3B
VCL	VCL
VPS18	VPS18
WDR12	WDR12
WIPI1	WIPI1
XPO6	XPO6
ZNF32	ZNF32
ZSCAN26	ZSCAN26
