grna_id	grna_target
E6CAD9p21_1	E6CAD9p21
E6CAD9p21_2	E6CAD9p21
E6CAD9p21_3	E6CAD9p21
E6CAD9p21_4	E6CAD9p21
E6CAD9p21_5	E6CAD9p21
E6CAD9p21_6	E6CAD9p21
E6CAD9p21_7	E6CAD9p21
E6CAD9p21_8	E6CAD9p21
E6CAD9p21_9	E6CAD9p21
E6CAD9p21_10	E6CAD9p21
E.TWIST1_1	E.TWIST1
E.TWIST1_2	E.TWIST1
E.TWIST1_3	E.TWIST1
E.TWIST1_4	E.TWIST1
E.TWIST1_5	E.TWIST1
E.TWIST1_6	E.TWIST1
E.TWIST1_7	E.TWIST1
E.TWIST1_8	E.TWIST1
E.TWIST1_9	E.TWIST1
E.TWIST1_10	E.TWIST1
E.SMAD3_1	E.SMAD3
E.SMAD3_2	E.SMAD3
E.SMAD3_3	E.SMAD3
E.SMAD3_4	E.SMAD3
E.SMAD3_5	E.SMAD3
E.SMAD3_6	E.SMAD3
E.SMAD3_7	E.SMAD3
E.SMAD3_8	E.SMAD3
E.SMAD3_9	E.SMAD3
E.SMAD3_10	E.SMAD3
E9CAD9p21_1	E9CAD9p21
E9CAD9p21_2	E9CAD9p21
E9CAD9p21_3	E9CAD9p21
E9CAD9p21_4	E9CAD9p21
E9CAD9p21_5	E9CAD9p21
E9CAD9p21_6	E9CAD9p21
E9CAD9p21_7	E9CAD9p21
E9CAD9p21_8	E9CAD9p21
E9CAD9p21_9	E9CAD9p21
E9CAD9p21_10	E9CAD9p21
E4CAD9p21_1	E4CAD9p21
E4CAD9p21_2	E4CAD9p21
E4CAD9p21_3	E4CAD9p21
E4CAD9p21_4	E4CAD9p21
E4CAD9p21_5	E4CAD9p21
E4CAD9p21_6	E4CAD9p21
E4CAD9p21_7	E4CAD9p21
E4CAD9p21_8	E4CAD9p21
E4CAD9p21_9	E4CAD9p21
E4CAD9p21_10	E4CAD9p21
E5CAD9p21_1	E5CAD9p21
E5CAD9p21_2	E5CAD9p21
E5CAD9p21_3	E5CAD9p21
E5CAD9p21_4	E5CAD9p21
E5CAD9p21_5	E5CAD9p21
E5CAD9p21_6	E5CAD9p21
E5CAD9p21_7	E5CAD9p21
E5CAD9p21_8	E5CAD9p21
E5CAD9p21_9	E5CAD9p21
E5CAD9p21_10	E5CAD9p21
chr1:56502651-56502951_1	chr1:56502651-56502951
chr1:56502651-56502951_2	chr1:56502651-56502951
chr1:56502651-56502951_3	chr1:56502651-56502951
chr1:56502651-56502951_4	chr1:56502651-56502951
chr1:56502651-56502951_5	chr1:56502651-56502951
chr1:56502651-56502951_6	chr1:56502651-56502951
chr1:56502651-56502951_7	chr1:56502651-56502951
chr1:56502651-56502951_8	chr1:56502651-56502951
chr1:56502651-56502951_9	chr1:56502651-56502951
chr1:56502651-56502951_10	chr1:56502651-56502951
chr1:113874585-113874885_1	chr1:113874585-113874885
chr1:113874585-113874885_2	chr1:113874585-113874885
chr1:113874585-113874885_3	chr1:113874585-113874885
chr1:113874585-113874885_4	chr1:113874585-113874885
chr1:113874585-113874885_5	chr1:113874585-113874885
chr1:113874585-113874885_6	chr1:113874585-113874885
chr1:113874585-113874885_7	chr1:113874585-113874885
chr1:113874585-113874885_8	chr1:113874585-113874885
chr1:113874585-113874885_9	chr1:113874585-113874885
chr1:154386612-154386912_1	chr1:154386612-154386912
chr1:154386612-154386912_2	chr1:154386612-154386912
chr1:154386612-154386912_3	chr1:154386612-154386912
chr1:154386612-154386912_4	chr1:154386612-154386912
chr1:154386612-154386912_5	chr1:154386612-154386912
chr1:154386612-154386912_6	chr1:154386612-154386912
chr1:154386612-154386912_7	chr1:154386612-154386912
chr1:154386612-154386912_8	chr1:154386612-154386912
chr1:154386612-154386912_9	chr1:154386612-154386912
chr1:154386612-154386912_10	chr1:154386612-154386912
chr1:154431575-154431875_1	chr1:154431575-154431875
chr1:154431575-154431875_2	chr1:154431575-154431875
chr1:154431575-154431875_3	chr1:154431575-154431875
chr1:154431575-154431875_4	chr1:154431575-154431875
chr1:154431575-154431875_5	chr1:154431575-154431875
chr1:154431575-154431875_6	chr1:154431575-154431875
chr1:154431575-154431875_7	chr1:154431575-154431875
chr1:154431575-154431875_8	chr1:154431575-154431875
chr1:154431575-154431875_9	chr1:154431575-154431875
chr1:154431575-154431875_10	chr1:154431575-154431875
chr1:154446238-154446538_1	chr1:154446238-154446538
chr1:154446238-154446538_2	chr1:154446238-154446538
chr1:154446238-154446538_3	chr1:154446238-154446538
chr1:154446238-154446538_4	chr1:154446238-154446538
chr1:154446238-154446538_5	chr1:154446238-154446538
chr1:154446238-154446538_6	chr1:154446238-154446538
chr1:154446238-154446538_7	chr1:154446238-154446538
chr1:154446238-154446538_8	chr1:154446238-154446538
chr1:154446238-154446538_9	chr1:154446238-154446538
chr1:154446238-154446538_10	chr1:154446238-154446538
chr1:154463405-154463705_1	chr1:154463405-154463705
chr1:154463405-154463705_2	chr1:154463405-154463705
chr1:154463405-154463705_3	chr1:154463405-154463705
chr1:154463405-154463705_4	chr1:154463405-154463705
chr1:154463405-154463705_5	chr1:154463405-154463705
chr1:154463405-154463705_6	chr1:154463405-154463705
chr1:154463405-154463705_7	chr1:154463405-154463705
chr1:154463405-154463705_8	chr1:154463405-154463705
chr1:154463405-154463705_9	chr1:154463405-154463705
chr1:154463405-154463705_10	chr1:154463405-154463705
chr1:169121164-169121464_1	chr1:169121164-169121464
chr1:169121164-169121464_2	chr1:169121164-169121464
chr1:169121164-169121464_3	chr1:169121164-169121464
chr1:169121164-169121464_4	chr1:169121164-169121464
chr1:169121164-169121464_5	chr1:169121164-169121464
chr1:169121164-169121464_6	chr1:169121164-169121464
chr1:169121164-169121464_7	chr1:169121164-169121464
chr1:169121164-169121464_8	chr1:169121164-169121464
chr1:169121164-169121464_9	chr1:169121164-169121464
chr1:169121164-169121464_10	chr1:169121164-169121464
chr1:169163109-169163409_1	chr1:169163109-169163409
chr1:169163109-169163409_2	chr1:169163109-169163409
chr1:169163109-169163409_3	chr1:169163109-169163409
chr1:169163109-169163409_4	chr1:169163109-169163409
chr1:169163109-169163409_5	chr1:169163109-169163409
chr1:169163109-169163409_6	chr1:169163109-169163409
chr1:169163109-169163409_7	chr1:169163109-169163409
chr1:169163109-169163409_8	chr1:169163109-169163409
chr1:169163109-169163409_9	chr1:169163109-169163409
chr1:169163109-169163409_10	chr1:169163109-169163409
chr1:201774732-201775032_1	chr1:201774732-201775032
chr1:201774732-201775032_2	chr1:201774732-201775032
chr1:201774732-201775032_3	chr1:201774732-201775032
chr1:201774732-201775032_4	chr1:201774732-201775032
chr1:201774732-201775032_5	chr1:201774732-201775032
chr1:201774732-201775032_6	chr1:201774732-201775032
chr1:201774732-201775032_7	chr1:201774732-201775032
chr1:201774732-201775032_8	chr1:201774732-201775032
chr1:201774732-201775032_9	chr1:201774732-201775032
chr1:201774732-201775032_10	chr1:201774732-201775032
chr1:201917422-201917722_1	chr1:201917422-201917722
chr1:201917422-201917722_2	chr1:201917422-201917722
chr1:201917422-201917722_3	chr1:201917422-201917722
chr1:201917422-201917722_4	chr1:201917422-201917722
chr1:201917422-201917722_5	chr1:201917422-201917722
chr1:201917422-201917722_6	chr1:201917422-201917722
chr1:201917422-201917722_7	chr1:201917422-201917722
chr1:201917422-201917722_8	chr1:201917422-201917722
chr1:201917422-201917722_9	chr1:201917422-201917722
chr1:201917422-201917722_10	chr1:201917422-201917722
chr1:230153966-230154266_1	chr1:230153966-230154266
chr1:230153966-230154266_2	chr1:230153966-230154266
chr1:230153966-230154266_3	chr1:230153966-230154266
chr1:230153966-230154266_4	chr1:230153966-230154266
chr1:230153966-230154266_5	chr1:230153966-230154266
chr1:230153966-230154266_6	chr1:230153966-230154266
chr1:230153966-230154266_7	chr1:230153966-230154266
chr1:230153966-230154266_8	chr1:230153966-230154266
chr1:230153966-230154266_9	chr1:230153966-230154266
chr1:230153966-230154266_10	chr1:230153966-230154266
chr2:62786223-62786523_1	chr2:62786223-62786523
chr2:62786223-62786523_2	chr2:62786223-62786523
chr2:62786223-62786523_3	chr2:62786223-62786523
chr2:62786223-62786523_4	chr2:62786223-62786523
chr2:62786223-62786523_5	chr2:62786223-62786523
chr2:62786223-62786523_6	chr2:62786223-62786523
chr2:62786223-62786523_7	chr2:62786223-62786523
chr2:62786223-62786523_8	chr2:62786223-62786523
