grna_target	response_id
chr10:103137909-103138209	NT5C2
chr10:103137909-103138209	PDCD11
chr10:103137909-103138209	SH3PXD2A
chr10:103137909-103138209	SLK
chr10:103153973-103154273	NT5C2
chr10:103153973-103154273	PDCD11
chr10:103153973-103154273	SH3PXD2A
chr10:103153973-103154273	SLK
chr10:103875980-103876280	NT5C2
chr10:103875980-103876280	PDCD11
chr10:103875980-103876280	SH3PXD2A
chr10:103875980-103876280	SLK
chr10:103884698-103884998	NT5C2
chr10:103884698-103884998	PDCD11
chr10:103884698-103884998	SH3PXD2A
chr10:103884698-103884998	SLK
chr10:103901910-103902210	NT5C2
chr10:103901910-103902210	PDCD11
chr10:103901910-103902210	SH3PXD2A
chr10:103901910-103902210	SLK
chr10:103908300-103908600	NT5C2
chr10:103908300-103908600	PDCD11
chr10:103908300-103908600	SH3PXD2A
chr10:103908300-103908600	SLK
chr10:112992891-112993191	VTI1A
chr10:112992891-112993191	TCF7L2
chr10:113006061-113006361	VTI1A
chr10:113006061-113006361	TCF7L2
chr10:122301163-122301463	PLEKHA1
chr10:122301163-122301463	HTRA1
chr10:122312559-122312859	PLEKHA1
chr10:122312559-122312859	HTRA1
chr10:12265697-12265997	NUDT5
chr10:12265697-12265997	CDC123
chr10:43689641-43689941	ZNF32
chr10:43689641-43689941	ZNF32-AS2
chr10:43689641-43689941	CXCL12
chr10:44180262-44180562	ZNF32
chr10:44180262-44180562	ZNF32-AS2
chr10:44180262-44180562	CXCL12
chr10:44280239-44280539	ZNF32
chr10:44280239-44280539	ZNF32-AS2
chr10:44280239-44280539	CXCL12
chr10:73850921-73851221	SEC24C
chr10:73850921-73851221	FUT11
chr10:73850921-73851221	CHCHD1
chr10:73850921-73851221	ZSWIM8
chr10:73850921-73851221	NDST2
chr10:73850921-73851221	CAMK2G
chr10:73850921-73851221	PLAU
chr10:73850921-73851221	VCL
chr10:73862528-73862828	SEC24C
chr10:73862528-73862828	FUT11
chr10:73862528-73862828	CHCHD1
chr10:73862528-73862828	ZSWIM8
chr10:73862528-73862828	NDST2
chr10:73862528-73862828	CAMK2G
chr10:73862528-73862828	PLAU
chr10:73862528-73862828	VCL
chr10:73889065-73889365	SEC24C
chr10:73889065-73889365	FUT11
chr10:73889065-73889365	CHCHD1
chr10:73889065-73889365	ZSWIM8
chr10:73889065-73889365	NDST2
chr10:73889065-73889365	CAMK2G
chr10:73889065-73889365	PLAU
chr10:73889065-73889365	VCL
chr10:74003071-74003371	SEC24C
chr10:74003071-74003371	FUT11
chr10:74003071-74003371	CHCHD1
chr10:74003071-74003371	ZSWIM8
chr10:74003071-74003371	NDST2
chr10:74003071-74003371	CAMK2G
chr10:74003071-74003371	PLAU
chr10:74003071-74003371	VCL
chr10:74008344-74008644	SEC24C
chr10:74008344-74008644	FUT11
chr10:74008344-74008644	CHCHD1
chr10:74008344-74008644	ZSWIM8
chr10:74008344-74008644	NDST2
chr10:74008344-74008644	CAMK2G
chr10:74008344-74008644	PLAU
chr10:74008344-74008644	VCL
chr10:80473748-80474048	ANXA11
chr10:80473748-80474048	TSPAN14
chr10:80481012-80481312	ANXA11
chr10:80481012-80481312	TSPAN14
chr10:80481014-80481314	ANXA11
chr10:80481014-80481314	TSPAN14
chr10:80493729-80494029	ANXA11
chr10:80493729-80494029	TSPAN14
chr11:10236813-10237113	SBF2
chr11:10236813-10237113	ADM
chr11:10249523-10249823	SBF2
chr11:10249523-10249823	ADM
chr11:103714275-103714575	DCUN1D5
chr11:103714275-103714575	PDGFD
chr11:104254199-104254499	PDGFD
chr11:104254199-104254499	CASP4
chr11:104254199-104254499	CARD16
chr11:110368599-110368899	RDX
chr11:110373247-110373547	RDX
chr11:111612229-111612529	LAYN
chr11:111612229-111612529	PPP2R1B
chr11:111626242-111626542	LAYN
chr11:111626242-111626542	PPP2R1B
chr11:116793135-116793435	ZPR1
chr11:116793135-116793435	SIK3
chr11:116793135-116793435	PAFAH1B2
chr11:116793135-116793435	SIDT2
chr11:116793135-116793435	TAGLN
chr11:116793135-116793435	PCSK7
chr11:117027008-117027308	ZPR1
chr11:117027008-117027308	SIK3
chr11:117027008-117027308	PAFAH1B2
chr11:117027008-117027308	SIDT2
chr11:117027008-117027308	TAGLN
chr11:117027008-117027308	PCSK7
chr11:117033733-117034033	ZPR1
chr11:117033733-117034033	SIK3
chr11:117033733-117034033	PAFAH1B2
chr11:117033733-117034033	SIDT2
chr11:117033733-117034033	TAGLN
chr11:117033733-117034033	PCSK7
chr11:117117893-117118193	ZPR1
chr11:117117893-117118193	SIK3
chr11:117117893-117118193	PAFAH1B2
chr11:117117893-117118193	SIDT2
chr11:117117893-117118193	TAGLN
chr11:117117893-117118193	PCSK7
chr11:120383782-120384082	OAF
chr11:120383782-120384082	ARHGEF12
chr11:120395777-120396077	OAF
chr11:120395777-120396077	ARHGEF12
chr11:122632488-122632788	UBASH3B
chr11:122632488-122632788	HSPA8
chr1:113874585-113874885	AP4B1-AS1
chr1:113874585-113874885	AP4B1
chr1:113874585-113874885	HIPK1
chr1:113885162-113885462	AP4B1-AS1
chr1:113885162-113885462	AP4B1
chr1:113885162-113885462	HIPK1
chr11:215663-215963	BET1L
chr11:215663-215963	RIC8A
chr11:215663-215963	SIRT3
chr11:215663-215963	PSMD13
chr11:215663-215963	PGGHG
chr11:215663-215963	IFITM2
chr11:215663-215963	IFITM1
chr11:227786-228086	BET1L
chr11:227786-228086	RIC8A
chr11:227786-228086	SIRT3
chr11:227786-228086	PSMD13
chr11:227786-228086	PGGHG
chr11:227786-228086	IFITM2
chr11:227786-228086	IFITM1
chr11:43801574-43801874	HSD17B12
chr11:43801574-43801874	ALKBH3
chr11:43801574-43801874	ALKBH3-AS1
chr11:43809193-43809493	HSD17B12
chr11:43809193-43809493	ALKBH3
chr11:43809193-43809493	ALKBH3-AS1
chr1:150569148-150569448	RPRD2
chr1:150569148-150569448	TARS2
chr1:150569148-150569448	ECM1
chr1:150569148-150569448	ADAMTSL4
chr1:150569148-150569448	ADAMTSL4-AS1
chr1:150569148-150569448	MCL1
chr1:150569148-150569448	ENSA
chr1:150569148-150569448	GOLPH3L
chr1:150585791-150586091	RPRD2
chr1:150585791-150586091	TARS2
chr1:150585791-150586091	ECM1
chr1:150585791-150586091	ADAMTSL4
chr1:150585791-150586091	ADAMTSL4-AS1
chr1:150585791-150586091	MCL1
chr1:150585791-150586091	ENSA
chr1:150585791-150586091	GOLPH3L
chr1:154386612-154386912	TPM3
chr1:154386612-154386912	C1orf43
chr1:154386612-154386912	UBAP2L
chr1:154386612-154386912	HAX1
chr1:154386612-154386912	ATP8B2
chr1:154386612-154386912	UBE2Q1
chr1:154386612-154386912	UBE2Q1-AS1
chr1:154386612-154386912	ADAR
chr1:154431575-154431875	TPM3
chr1:154431575-154431875	C1orf43
chr1:154431575-154431875	UBAP2L
chr1:154431575-154431875	HAX1
chr1:154431575-154431875	ATP8B2
chr1:154431575-154431875	UBE2Q1
chr1:154431575-154431875	UBE2Q1-AS1
chr1:154431575-154431875	ADAR
chr1:154438853-154439153	TPM3
chr1:154438853-154439153	C1orf43
chr1:154438853-154439153	UBAP2L
chr1:154438853-154439153	HAX1
chr1:154438853-154439153	ATP8B2
chr1:154438853-154439153	UBE2Q1
chr1:154438853-154439153	UBE2Q1-AS1
chr1:154438853-154439153	ADAR
chr1:154446238-154446538	TPM3
chr1:154446238-154446538	C1orf43
chr1:154446238-154446538	UBAP2L
chr1:154446238-154446538	HAX1
chr1:154446238-154446538	ATP8B2
chr1:154446238-154446538	UBE2Q1
chr1:154446238-154446538	UBE2Q1-AS1
chr1:154446238-154446538	ADAR
chr1:154456342-154456642	TPM3
chr1:154456342-154456642	C1orf43
chr1:154456342-154456642	UBAP2L
chr1:154456342-154456642	HAX1
chr1:154456342-154456642	ATP8B2
chr1:154456342-154456642	UBE2Q1
chr1:154456342-154456642	UBE2Q1-AS1
chr1:154456342-154456642	ADAR
chr1:154456378-154456678	TPM3
chr1:154456378-154456678	C1orf43
chr1:154456378-154456678	UBAP2L
chr1:154456378-154456678	HAX1
chr1:154456378-154456678	ATP8B2
chr1:154456378-154456678	UBE2Q1
chr1:154456378-154456678	UBE2Q1-AS1
chr1:154456378-154456678	ADAR
chr1:154463405-154463705	TPM3
chr1:154463405-154463705	C1orf43
chr1:154463405-154463705	UBAP2L
chr1:154463405-154463705	HAX1
chr1:154463405-154463705	ATP8B2
chr1:154463405-154463705	UBE2Q1
chr1:154463405-154463705	UBE2Q1-AS1
chr1:154463405-154463705	ADAR
chr11:65574248-65574548	SCYL1
chr11:65574248-65574548	LTBP3
chr11:65574248-65574548	FAM89B
chr11:65574248-65574548	EHBP1L1
chr11:65574248-65574548	MAP3K11
chr11:65574248-65574548	PCNX3
chr11:65574248-65574548	SIPA1
chr11:65574248-65574548	RELA
chr1:169115823-169116123	ATP1B1
chr1:169115823-169116123	NME7
chr1:169115823-169116123	BLZF1
chr1:169121164-169121464	ATP1B1
chr1:169121164-169121464	NME7
chr1:169121164-169121464	BLZF1
chr1:169153122-169153422	ATP1B1
chr1:169153122-169153422	NME7
chr1:169153122-169153422	BLZF1
chr1:169163109-169163409	ATP1B1
chr1:169163109-169163409	NME7
chr1:169163109-169163409	BLZF1
chr11:8767478-8767778	RPL27A
chr11:8767478-8767778	AKIP1
chr11:8780531-8780831	RPL27A
chr11:8780531-8780831	AKIP1
chr11:8780531-8780831	SBF2
chr1:201774732-201775032	NAV1
chr1:201774732-201775032	IPO9-AS1
chr1:201774732-201775032	IPO9
chr1:201774732-201775032	SHISA4
chr1:201774732-201775032	TIMM17A
chr1:201774732-201775032	RNPEP
chr1:201774732-201775032	ARL8A
chr1:201814448-201814748	NAV1
chr1:201814448-201814748	IPO9-AS1
chr1:201814448-201814748	IPO9
chr1:201814448-201814748	SHISA4
chr1:201814448-201814748	TIMM17A
chr1:201814448-201814748	RNPEP
chr1:201814448-201814748	ARL8A
chr1:201917422-201917722	NAV1
chr1:201917422-201917722	IPO9-AS1
chr1:201917422-201917722	IPO9
chr1:201917422-201917722	SHISA4
chr1:201917422-201917722	TIMM17A
chr1:201917422-201917722	RNPEP
chr1:201917422-201917722	ARL8A
chr1:201927430-201927730	NAV1
chr1:201927430-201927730	IPO9-AS1
chr1:201927430-201927730	IPO9
chr1:201927430-201927730	SHISA4
chr1:201927430-201927730	TIMM17A
chr1:201927430-201927730	RNPEP
chr1:201927430-201927730	ARL8A
chr12:109539478-109539778	KCTD10
chr12:109539478-109539778	UBE3B
chr12:109539478-109539778	MMAB
chr12:109539478-109539778	MVK
chr12:109539478-109539778	IFT81
chr12:109539478-109539778	ATP2A2
chr12:109539478-109539778	ANAPC7
chr12:110267042-110267342	KCTD10
chr12:110267042-110267342	UBE3B
chr12:110267042-110267342	MMAB
chr12:110267042-110267342	MVK
